,2008/01/02,a9,,,a9
,2008/01/02,a9,,,a9
,2008/01/02,a9,,a9,
,2008/01/02,a9,a9,,
,2008/01/02,a9,a9,,
,2008/01/02,a9,,a9,
A,2008/01/01,a3,,a1,a2
A,2008/01/01,a3,a1,,a2
A,2008/01/01,a3,,a2,a1
A,2008/01/01,a3,a2,,a1
A,2008/01/01,a3,a2,a1,
A,2008/01/01,a3,a1,a2,
A,2008/01/01,a3,,a1,a3
A,2008/01/01,a3,a1,,a3
A,2008/01/01,a3,,a3,a1
A,2008/01/01,a3,a3,,a1
A,2008/01/01,a3,a3,a1,
A,2008/01/01,a3,a1,a3,
A,2008/01/01,a3,,a2,a3
A,2008/01/01,a3,a2,,a3
A,2008/01/01,a3,,a3,a2
A,2008/01/01,a3,a3,,a2
A,2008/01/01,a3,a3,a2,
A,2008/01/01,a3,a2,a3,
A,2008/01/01,a3,a1,a2,a3
A,2008/01/01,a3,a2,a1,a3
A,2008/01/01,a3,a1,a3,a2
A,2008/01/01,a3,a3,a1,a2
A,2008/01/01,a3,a3,a2,a1
A,2008/01/01,a3,a2,a3,a1
A,2008/01/02,a5,,a4,a5
A,2008/01/02,a5,a4,,a5
A,2008/01/02,a5,,a5,a4
A,2008/01/02,a5,a5,,a4
A,2008/01/02,a5,a5,a4,
A,2008/01/02,a5,a4,a5,
B,2008/01/01,a8,,a6,a7
B,2008/01/01,a8,a6,,a7
B,2008/01/01,a8,,a7,a6
B,2008/01/01,a8,a7,,a6
B,2008/01/01,a8,a7,a6,
B,2008/01/01,a8,a6,a7,
B,2008/01/01,a8,,a6,a8
B,2008/01/01,a8,a6,,a8
B,2008/01/01,a8,,a8,a6
B,2008/01/01,a8,a8,,a6
B,2008/01/01,a8,a8,a6,
B,2008/01/01,a8,a6,a8,
B,2008/01/01,a8,,a7,a8
B,2008/01/01,a8,a7,,a8
B,2008/01/01,a8,,a8,a7
B,2008/01/01,a8,a8,,a7
B,2008/01/01,a8,a8,a7,
B,2008/01/01,a8,a7,a8,
B,2008/01/01,a8,a6,a7,a8
B,2008/01/01,a8,a7,a6,a8
B,2008/01/01,a8,a6,a8,a7
B,2008/01/01,a8,a8,a6,a7
B,2008/01/01,a8,a8,a7,a6
B,2008/01/01,a8,a7,a8,a6
